contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct
SPY251007C00674000,2025-10-03 20:14:57+00:00,674.0,0.38,0.36,0.39,-0.49,-56.32184,5924.0,380,0.0604342004394531,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.992893207674564,0.030000000000000027,0.0789473684210527
SPY251007C00675000,2025-10-03 20:14:59+00:00,675.0,0.24,0.23,0.24,-0.37,-60.655735,17064.0,2443,0.0593355786132812,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9914222547743056,0.009999999999999981,0.04166666666666659
SPY251007C00676000,2025-10-03 20:13:06+00:00,676.0,0.14,0.14,0.15,-0.26,-65.00001,4682.0,794,0.0590914404296875,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9899556538057044,0.009999999999999981,0.07142857142857129
SPY251007P00635000,2025-10-03 20:07:53+00:00,635.0,0.1,0.1,0.11,-0.080000006,-44.444447,222.0,1884,0.2148516015625,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.05387405035064,0.009999999999999995,0.09999999999999995
SPY251007P00636000,2025-10-03 20:13:19+00:00,636.0,0.11,0.1,0.11,-0.07000001,-38.888893,126.0,979,0.2094805615234374,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.052217015680277,0.009999999999999995,0.09090909090909087
SPY251007P00637000,2025-10-03 17:55:03+00:00,637.0,0.18,0.11,0.12,-0.049999997,-21.739128,47.0,1036,0.2065509033203124,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0505651836305436,0.009999999999999995,0.05555555555555553
SPY251007P00638000,2025-10-03 20:09:19+00:00,638.0,0.11,0.11,0.12,-0.08,-42.105263,62.0,409,0.2006915869140624,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0489185297377055,0.009999999999999995,0.09090909090909087
SPY251007P00639000,2025-10-03 19:52:33+00:00,639.0,0.11,0.12,0.13,-0.099999994,-47.619045,38.0,814,0.1977619287109375,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0472770296911678,0.010000000000000009,0.090909090909091
SPY251007P00640000,2025-10-03 20:07:18+00:00,640.0,0.13,0.12,0.13,-0.07000001,-35.000004,424.0,1048,0.1919026123046875,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0456406593322751,0.010000000000000009,0.07692307692307698
SPY251007P00641000,2025-10-03 20:02:25+00:00,641.0,0.14,0.13,0.14,-0.09,-39.130436,145.0,136,0.188484677734375,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.04400939465313,0.010000000000000009,0.07142857142857148
SPY251007P00642000,2025-10-03 19:56:30+00:00,642.0,0.12,0.14,0.15,-0.1,-45.454544,580.0,624,0.1850667431640624,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0423832117954148,0.009999999999999981,0.08333333333333318
SPY251007P00643000,2025-10-03 19:32:10+00:00,643.0,0.11,0.15,0.16,-0.14,-56.0,446.0,564,0.1811605322265624,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.040762087049232,0.010000000000000009,0.090909090909091
SPY251007P00644000,2025-10-03 20:09:23+00:00,644.0,0.16,0.15,0.16,-0.099999994,-38.461536,438.0,1087,0.1753012158203125,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0391459968519507,0.010000000000000009,0.06250000000000006
SPY251007P00645000,2025-10-03 20:07:45+00:00,645.0,0.17,0.16,0.17,-0.11,-39.285713,1466.0,729,0.1711508666992187,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.037534917787064,0.010000000000000009,0.058823529411764754
SPY251007P00646000,2025-10-03 20:06:15+00:00,646.0,0.19,0.17,0.18,-0.110000014,-36.66667,1464.0,807,0.167000517578125,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0359288265830593,0.009999999999999981,0.05263157894736832
SPY251007P00648000,2025-10-03 20:09:23+00:00,648.0,0.2,0.2,0.21,-0.13000001,-39.39394,1982.0,340,0.159188095703125,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0327315153899017,0.009999999999999981,0.049999999999999906
SPY251007P00649000,2025-10-03 20:09:03+00:00,649.0,0.21,0.21,0.22,-0.14,-40.0,865.0,630,0.1545494702148437,False,REGULAR,USD,put,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0311402495726598,0.010000000000000009,0.047619047619047665
