contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251006P00671000,2025-10-03 20:14:51+00:00,671.0,2.58,2.57,2.64,-0.36000013,-12.244903,72637.0,2226,0.0567110931396484,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9973323725374906,0.0700000000000002,0.0271317829457365,0.08229687707813853,0.025585783938490127,"(0.95, 1.05]","(0, 30]"
SPY251006P00672000,2025-10-03 20:14:42+00:00,672.0,3.31,3.29,3.37,-0.23000002,-6.4971757,56159.0,303,0.0572604040527343,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9958482469831196,0.08,0.0241691842900302,0.08412053284336639,0.02686012879063209,"(0.95, 1.05]","(0, 30]"
SPY251006P00673000,2025-10-03 20:14:30+00:00,673.0,4.25,4.12,4.23,0.0,0.0,26661.0,372,0.0609224768066406,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9943685319058784,0.1100000000000003,0.0258823529411765,0.09578992531060035,0.03486744850395975,"(0.95, 1.05]","(0, 30]"
SPY251006P00674000,2025-10-03 20:08:51+00:00,674.0,5.1,5.03,5.17,0.26999998,5.5900617,5282.0,60,0.0670259313964843,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.992893207674564,0.1399999999999996,0.0274509803921568,0.09912015228997306,0.03209422089348876,"(0.95, 1.05]","(0, 30]"
SPY251006P00675000,2025-10-03 20:13:51+00:00,675.0,6.25,6.03,6.17,0.3000002,5.0420203,3231.0,163,0.0760590441894531,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9914222547743056,0.1399999999999996,0.0223999999999999,0.12437620326043151,0.048317159070978416,"(0.95, 1.05]","(0, 30]"
SPY251006P00676000,2025-10-03 20:12:29+00:00,676.0,7.26,7.02,7.17,0.27000046,3.8626676,800.0,9,0.0848480187988281,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9899556538057044,0.1500000000000003,0.0206611570247934,0.1386953441900908,0.053847325391262704,"(0.95, 1.05]","(0, 30]"
SPY251007C00650000,2025-10-03 17:46:39+00:00,650.0,19.52,19.23,19.36,-0.75,-3.7000492,12.0,160,0.137703935546875,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.029553879957933,0.129999999999999,0.0066598360655737,0.166531116145566,0.02882718059869102,"(0.95, 1.05]","(0, 30]"
SPY251007C00653000,2025-10-03 19:28:41+00:00,653.0,16.97,16.3,16.42,-0.3600006,-2.077326,18.0,103,0.1276942700195312,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0248239233884475,0.120000000000001,0.0070713022981733,0.20790166199627141,0.0802073919767402,"(0.95, 1.05]","(0, 30]"
SPY251007C00654000,2025-10-03 19:19:09+00:00,654.0,16.12,15.33,15.45,5.8500004,56.96203,67.0,43,0.1247646118164062,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0232569143312786,0.1199999999999992,0.0074441687344912,0.21208919812696156,0.08732458631055535,"(0.95, 1.05]","(0, 30]"
SPY251007C00655000,2025-10-03 19:04:15+00:00,655.0,15.4,14.36,14.48,1.2399998,8.757061,45.0,137,0.1213466772460937,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0216946900345898,0.120000000000001,0.0077922077922078,0.2241527249146954,0.1028060476686017,"(0.95, 1.05]","(0, 30]"
SPY251007C00656000,2025-10-02 18:00:06+00:00,656.0,15.04,13.39,13.51,1.1899996,8.592054,60.0,97,0.1174404663085937,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.020137228616854,0.1199999999999992,0.0079787234042552,0.2555685964986965,0.1381281301901028,"(0.95, 1.05]","(0, 30]"
SPY251007C00657000,2025-10-03 16:05:47+00:00,657.0,13.07,12.43,12.55,-0.1800003,-1.3584929,52.0,168,0.1140225317382812,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.018584508329766,0.120000000000001,0.0091813312930375,0.17757153127095004,0.06354899953266885,"(0.95, 1.05]","(0, 30]"
