contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00656000,2025-10-03 19:57:46+00:00,656.0,13.11,11.51,14.27,-0.5300007,-3.8856354,196.0,970,0.375982802734375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.020137228616854
SPY251003C00657000,2025-10-03 20:01:30+00:00,657.0,12.3,10.51,13.27,-0.5699997,-4.428902,380.0,1737,0.3569400244140625,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.018584508329766
SPY251003C00658000,2025-10-03 19:46:43+00:00,658.0,11.54,9.51,12.27,-0.13000011,-1.1139684,725.0,9086,0.33740896972656254,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0170365075572283
SPY251003C00659000,2025-10-03 20:05:44+00:00,659.0,9.86,8.51,11.27,-0.77000046,-7.2436543,440.0,2591,0.31763377685546873,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0154932048143495
SPY251003C00660000,2025-10-03 20:06:45+00:00,660.0,8.88,7.54,10.2,-0.8999996,-9.202451,1997.0,5725,0.29004616210937495,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0139545787464488
SPY251003C00661000,2025-10-03 20:05:55+00:00,661.0,7.82,6.54,9.27,-0.6799998,-7.999998,897.0,3922,0.2771068383789062,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0124206081280729
SPY251003C00662000,2025-10-03 20:02:03+00:00,662.0,7.09,5.54,8.27,-0.6199999,-8.041503,1228.0,6728,0.2563550927734375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0108912718620184
SPY251003C00663000,2025-10-03 20:11:57+00:00,663.0,5.75,5.56,5.99,-1.1500001,-16.666668,1860.0,7487,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0093665489783654
SPY251003C00664000,2025-10-03 20:14:16+00:00,664.0,4.78,4.53,6.27,-1.0699997,-18.290594,2116.0,9329,0.21289849609375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0078464186335185
SPY251003C00665000,2025-10-03 20:14:28+00:00,665.0,3.8,3.75,5.27,-1.1800001,-23.69478,8872.0,15420,0.1901936450195313,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0063308601092575
